🤠雷蒙影视直播,#genre#
雷蒙影视直播,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CTVThemeSong1.mp4
CrimeTV LIVE,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CTVThemeSong2.mp4
更新日期,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV1.mkv
2025-06-26,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV2.mkv
🇨🇳央视,#genre#
CCTV1,http://183.155.254.220:9999/rtp/233.50.201.118:5140$雷蒙影视•IPV4『线路1』
CCTV1,http://115.230.188.101:9999/rtp/233.50.201.118:5140$雷蒙影视•IPV4『线路2』
CCTV1,http://115.220.243.30:9999/rtp/233.50.201.118:5140$雷蒙影视•IPV4『线路3』
CCTV1,http://e2.woc.iiiya.cn:8888/rtp/239.61.3.60:9878$雷蒙影视•IPV4『线路4』
CCTV1,http://60.164.229.62:4040/udp/239.255.30.101:8231$雷蒙影视•IPV4『线路5』
CCTV1,http://www.freetv.top/migu/608807420.m3u8?migutoken=491f039071b1e5ca7ea22dab208a3373abd0aa38187ac74446778154f03126d09cf16f03bab30bbbe6b3654715b39584417cebbd010b1b65144b4d683dc814c330efffb70a09c7630ddbb49120$雷蒙影视•IPV4『线路6』
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1$雷蒙影视•IPV4『线路7』
CCTV1,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$雷蒙影视•IPV4『线路8』
CCTV1,http://220.169.100.41:10087/udp/239.76.246.151:1234$雷蒙影视•IPV4『线路9』
CCTV1,http://58.46.210.223:4022/udp/239.76.246.151:1234$雷蒙影视•IPV4『线路10』
CCTV1,http://home.yulei.online:9999/rtp/226.0.2.153:9136$雷蒙影视•IPV4『线路11』
CCTV1,http://220.169.100.41:10087/udp/239.76.251.87:9000$雷蒙影视•IPV4『线路12』
CCTV1,http://zqh2333.top:2222/rtp/239.93.24.184:5140$雷蒙影视•IPV4『线路13』
CCTV1,http://58.46.210.223:4022/udp/239.76.251.87:9000$雷蒙影视•IPV4『线路14』
CCTV1,http://58.46.210.223:4022/udp/239.76.253.151:9000$雷蒙影视•IPV4『线路15』
CCTV1,http://220.169.100.41:10087/udp/239.76.253.151:9000$雷蒙影视•IPV4『线路16』
CCTV1,http://59.35.185.47:8188/udp/239.77.1.144:5146$雷蒙影视•IPV4『线路17』
CCTV1,http://8.138.7.223/tv/ptbtv.php?id=27$雷蒙影视•IPV4『线路18』
CCTV1,http://8.138.7.223/tv/cctv7.m3u8$雷蒙影视•IPV4『线路19』
CCTV1,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV1$雷蒙影视•IPV4『线路20』
CCTV1,http://119.123.176.146:8086/hls/2/index.m3u8$雷蒙影视•IPV4『线路21』
CCTV1,http://171.15.18.199:8180/TV00000000000000000001@HHZT$雷蒙影视•IPV4『线路22』
CCTV1,http://n1.gzbody.com:85/rtp/239.77.0.86:5146$雷蒙影视•IPV4『线路23』
CCTV1,http://n1.gzbody.com:85/rtp/239.77.0.14:5146$雷蒙影视•IPV4『线路24』
CCTV1,http://n1.gzbody.com:85/rtp/239.77.0.119:5146$雷蒙影视•IPV4『线路25』
CCTV1,http://n1.gzbody.com:85/rtp/239.77.0.129:5146$雷蒙影视•IPV4『线路26』
CCTV1,http://n1.gzbody.com:85/rtp/239.77.1.17:5146$雷蒙影视•IPV4『线路27』
